Lineups,GP,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,REB_PCT,eFG_PCT,TS_PCT,PACE,PIE,Lineup_Type,Performance_Tier
S. Curry | J. Butler III | D. Green | M. Moody | B. Podziemski,18,185,122,104.8,17.2,80,52.3,61.2,65,104.17,60.9,Curry Lineup,Elite
J. Butler III | D. Green | M. Moody | B. Podziemski | Q. Post,17,120,107.5,92.9,14.6,72.3,49.8,53.1,55.8,96.04,60.4,Non-Curry Lineup,Elite
S. Curry | J. Butler III | D. Green | M. Moody | Q. Post,8,44,97.9,117,-19.1,78.8,45.7,51.9,54.5,104.77,40.4,Curry Lineup,Negative
S. Curry | K. Looney | B. Hield | J. Kuminga | G. Santos,9,36,115.2,98.7,16.5,43.3,60,51.5,58.5,103.76,60.2,Curry Lineup,Elite
S. Curry | K. Looney | B. Hield | G. Payton II | G. Santos,10,33,137,117.8,19.2,75,49.2,69.8,72.8,107.21,57.8,Curry Lineup,Elite
J. Butler III | D. Green | G. Payton II | M. Moody | Q. Post,9,30,126.8,105.1,21.7,78.3,45.5,62.2,67.1,92.41,63.1,Non-Curry Lineup,Elite
J. Butler III | D. Green | B. Hield | B. Podziemski | Q. Post,8,28,126.3,80.8,45.5,78.3,58.2,64.8,68.8,92.95,81,Non-Curry Lineup,Elite
J. Butler III | K. Looney | B. Hield | G. Santos | B. Podziemski,8,28,129.3,92.7,36.6,83.3,56.7,53.6,59.9,97.88,67.8,Non-Curry Lineup,Elite
S. Curry | J. Butler III | D. Green | M. Moody | G. Santos,3,23,141.9,106.8,35,81,48.8,60.7,65.7,91.51,60.5,Curry Lineup,Elite
S. Curry | K. Looney | B. Hield | G. Payton II | J. Kuminga,5,23,118,89.8,28.2,68.2,49,65.9,65.6,103.76,63.7,Curry Lineup,Elite
J. Butler III | K. Looney | B. Hield | J. Kuminga | B. Podziemski,7,21,142.9,100,42.9,63.6,64,55.3,58.9,96.39,65.6,Non-Curry Lineup,Elite
J. Butler III | B. Hield | J. Kuminga | B. Podziemski | Q. Post,6,19,90.7,92.9,-2.2,66.7,55.8,43.9,50.9,107.42,43.9,,
S. Curry | J. Butler III | D. Green | G. Payton II | M. Moody,5,19,109.1,104.3,4.8,75,48.4,61.7,68,115.65,57.2,,
J. Butler III | D. Green | G. Payton II | M. Moody | B. Podziemski,6,18,102.4,86.4,16,70.6,37.8,51.4,54.4,117.61,59.1,,
S. Curry | J. Butler III | D. Green | G. Payton II | B. Podziemski,5,18,129.4,147.1,-17.6,83.3,36,64.6,72.9,89.39,44.6,,
S. Curry | J. Butler III | D. Green | B. Hield | B. Podziemski,7,16,102.4,120.6,-18.1,78.6,57.9,44.6,51.3,114.13,48.4,,
S. Curry | D. Green | B. Hield | G. Payton II | M. Moody,6,15,142.9,100,42.9,89.5,31.6,73.3,76.6,117.19,59.5,,
S. Curry | D. Green | B. Hield | J. Kuminga | M. Moody,6,14,115.2,112.5,2.7,92.3,46.2,60.3,61.8,108.33,48,,
S. Curry | K. Looney | B. Hield | M. Moody | G. Santos,4,14,118.8,82.4,36.4,46.2,70.3,48.4,54.3,109.75,68.3,,
S. Curry | D. Green | J. Kuminga | M. Moody | G. Santos,6,13,85.2,88.5,-3.3,80,50,45.7,46.4,99.25,50.5,,
S. Curry | J. Butler III | D. Green | B. Podziemski | Q. Post,4,13,137,112.5,24.5,91.7,60.9,66.7,70.6,94.86,66.4,,
S. Curry | J. Butler III | D. Green | J. Kuminga | B. Podziemski,4,13,134.5,132.1,2.3,92.3,59.1,65.2,71.2,103.96,62,,
S. Curry | D. Green | B. Hield | G. Payton II | Q. Post,6,12,154.8,83.3,71.5,93.3,52.2,79.2,82,124.42,78.8,,
S. Curry | J. Butler III | D. Green | B. Hield | M. Moody,6,12,107.1,123.1,-15.9,72.7,33.3,67.5,68.9,109.97,38.6,,
S. Curry | K. Looney | B. Hield | G. Payton II | M. Moody,6,12,88.5,110.7,-22.3,70,46.2,52.4,53.6,108.76,37.4,,
J. Butler III | D. Green | B. Hield | G. Payton II | Q. Post,3,11,109.1,112.5,-3.4,77.8,47.4,73.3,73.5,103.66,50.6,,
K. Looney | B. Hield | J. Kuminga | G. Santos | B. Podziemski,3,11,108.7,95.7,13,33.3,58.3,47.6,51.9,101.25,57.8,,
S. Curry | D. Green | G. Payton II | M. Moody | Q. Post,3,11,95.2,104.8,-9.5,66.7,52.2,43.8,50.1,92.76,50,,
S. Curry | J. Butler III | K. Looney | B. Hield | G. Payton II,4,11,108,126.1,-18.1,72.7,35,56.8,59,100.67,43.2,,
J. Butler III | D. Green | P. Spencer | M. Moody | Q. Post,3,10,135,100,35,77.8,66.7,64.7,70.3,102.16,61,,
S. Curry | B. Hield | J. Kuminga | G. Santos | Q. Post,4,10,157.1,120,37.1,75,37.5,78.9,79.5,101.27,65.5,,
S. Curry | D. Green | M. Moody | B. Podziemski | Q. Post,1,10,118.2,127.3,-9.1,77.8,40,64.7,67.7,109.24,50,,
J. Butler III | D. Green | J. Kuminga | M. Moody | B. Podziemski,5,9,47.6,123.8,-76.2,50,41.7,13.9,23.7,113.11,-7.1,,
J. Butler III | K. Looney | B. Hield | G. Payton II | G. Santos,3,9,111.1,116.7,-5.6,66.7,62.5,58.8,58.8,98.84,48,,
S. Curry | D. Green | G. Payton II | M. Moody | G. Santos,2,9,135.3,105.6,29.7,70,55.6,55.3,56.6,98.67,71.1,,
J. Butler III | D. Green | B. Hield | G. Payton II | B. Podziemski,2,8,81.3,40,41.3,80,60,40.6,40.6,91.66,82.8,,
J. Butler III | K. Looney | B. Hield | G. Payton II | J. Kuminga,3,8,85,126.3,-41.3,40,52.9,46.4,53.9,110.33,32.8,,
K. Knox II | P. Spencer | G. Santos | Y. Collins | Q. Post,2,8,77.8,116.7,-38.9,83.3,30,35,35,108.91,22.2,,
K. Knox II | P. Spencer | Y. Collins | J. Rowe | Q. Post,1,8,117.6,105.9,11.8,85.7,55.6,46.9,53.6,102.66,57.1,,
S. Curry | D. Green | B. Hield | J. Kuminga | G. Santos,6,8,120,60,60,62.5,66.7,65.4,74.6,114.51,92.2,,
S. Curry | D. Green | B. Hield | M. Moody | G. Santos,5,8,160,72.2,87.8,83.3,60,75,79.2,118.65,92.2,,
K. Knox II | B. Key | P. Spencer | T. Jackson|Davis | J. Rowe,1,7,127.8,123.5,4.2,57.1,68.8,50,56.4,125.06,51.7,,
K. Knox II | P. Spencer | G. Santos | T. Jackson|Davis | Q. Post,4,7,94.4,88.2,6.2,62.5,53.3,50,50,118.31,52,,
S. Curry | D. Green | M. Moody | G. Santos | Q. Post,4,7,92.9,50,42.9,100,73.3,72.2,72.2,105.37,75.6,,
S. Curry | K. Looney | B. Hield | K. Knox II | G. Santos,1,7,106.7,114.3,-7.6,42.9,40,53.3,53.3,103.88,44.6,,
S. Curry | K. Looney | J. Kuminga | M. Moody | G. Santos,3,7,107.7,108.3,-0.6,80,50,46.2,44.8,82.19,54.1,,
J. Butler III | K. Looney | B. Hield | G. Payton II | B. Podziemski,2,6,141.7,90,51.7,83.3,42.9,83.3,82.4,94.85,85.7,,
J. Butler III | K. Looney | B. Hield | K. Knox II | B. Podziemski,1,6,45.5,90.9,-45.5,100,50,25,25,95.42,14.8,,
J. Butler III | K. Looney | B. Hield | M. Moody | B. Podziemski,2,6,109.1,158.3,-49.2,100,16.7,75,75,91.24,31.3,,
K. Looney | B. Hield | K. Knox II | G. Santos | B. Podziemski,3,6,100,138.5,-38.5,50,57.1,41.7,45,104.9,17.1,,
S. Curry | D. Green | B. Hield | G. Santos | Q. Post,3,6,123.1,100,23.1,50,46.7,55,63.3,111.07,56.8,,
S. Curry | J. Butler III | K. Looney | G. Payton II | M. Moody,2,6,92.9,100,-7.1,25,54.5,37.5,47.2,105.55,40.5,,
B. Hield | J. Kuminga | G. Santos | B. Podziemski | Q. Post,2,5,122.2,180,-57.8,100,42.9,78.6,78.6,88.54,30.2,,
J. Butler III | B. Hield | G. Payton II | J. Kuminga | Q. Post,1,5,30,63.6,-33.6,100,47.4,9.1,12.6,105.92,0,,
J. Butler III | D. Green | M. Moody | G. Santos | B. Podziemski,3,5,77.8,188.9,-111.1,50,28.6,50,59.5,90,-3.2,,
S. Curry | B. Hield | G. Payton II | G. Santos | Q. Post,2,5,108.3,130.8,-22.4,100,36.4,54.2,54.2,114.65,38.2,,
S. Curry | B. Hield | G. Payton II | J. Kuminga | Q. Post,1,5,144.4,80,64.4,80,33.3,85.7,82.5,98.42,74.4,,
S. Curry | D. Green | B. Hield | G. Payton II | G. Santos,3,5,66.7,150,-83.3,100,44.4,50,50,125.31,35,,
S. Curry | J. Butler III | D. Green | G. Santos | B. Podziemski,3,5,145.5,120,25.5,66.7,30,44.4,63.9,101.82,55.3,,
S. Curry | J. Butler III | D. Green | J. Kuminga | M. Moody,3,5,63.6,150,-86.4,50,50,50,50.9,110.77,-5.3,,
S. Curry | J. Butler III | K. Looney | B. Hield | B. Podziemski,3,5,109.1,33.3,75.8,50,62.5,22.7,41.3,87.62,163.6,,
S. Curry | J. Butler III | K. Looney | B. Hield | J. Kuminga,3,5,81.8,170,-88.2,25,72.7,45,45,96.31,17.6,,
S. Curry | J. Butler III | K. Looney | B. Hield | M. Moody,3,5,100,216.7,-116.7,50,37.5,45,50.6,101.6,14.1,,
S. Curry | J. Butler III | K. Looney | G. Santos | B. Podziemski,2,5,116.7,100,16.7,100,61.5,36.4,51.3,104.21,64.1,,
S. Curry | J. Butler III | K. Looney | J. Kuminga | B. Podziemski,2,5,154.5,81.8,72.7,33.3,62.5,59.1,64.4,109.89,76.2,,
B. Hield | K. Knox II | P. Spencer | T. Jackson|Davis | Q. Post,1,4,185.7,142.9,42.9,66.7,100,72.2,72.2,89.2,61.4,,
D. Green | B. Hield | J. Kuminga | G. Santos | B. Podziemski,3,4,0,137.5,-137.5,0,25,0,0,100.61,-130.8,,
D. Green | J. Kuminga | M. Moody | B. Podziemski | Q. Post,1,4,88.9,140,-51.1,33.3,42.9,42.9,50.8,129.06,27.9,,
D. Green | J. Kuminga | M. Moody | G. Santos | B. Podziemski,2,4,80,166.7,-86.7,100,57.1,50,50,103.64,20.9,,
D. Green | K. Knox II | M. Moody | B. Podziemski | Q. Post,1,4,87.5,128.6,-41.1,50,50,41.7,47.8,95.15,33.3,,
J. Butler III | B. Hield | G. Payton II | J. Kuminga | T. Jackson|Davis,1,4,114.3,114.3,0,100,66.7,35.7,45.7,86.52,66.7,,
J. Butler III | D. Green | B. Hield | M. Moody | G. Santos,1,4,62.5,114.3,-51.8,50,50,31.3,31.3,94.32,21.1,,
J. Butler III | D. Green | G. Payton II | J. Kuminga | M. Moody,3,4,150,100,50,66.7,66.7,70,74.3,87.37,83.9,,
J. Butler III | D. Green | M. Moody | T. Jackson|Davis | B. Podziemski,1,4,62.5,100,-37.5,100,50,20,37,95.58,23.8,,
J. Butler III | K. Looney | B. Hield | M. Moody | G. Santos,2,4,75,57.1,17.9,50,71.4,40,51,96.86,500,,
,,,,,,,,,,,,,
K. Knox II | B. Key | P. Spencer | G. Santos | T. Jackson|Davis,2,4,33.3,116.7,-83.3,100,33.3,50,53.2,140.2,-21.4,,
K. Knox II | J. Kuminga | P. Spencer | G. Santos | T. Jackson|Davis,1,4,128.6,142.9,-14.3,33.3,57.1,58.3,58,79.68,45,,
K. Knox II | M. Moody | G. Santos | B. Podziemski | Q. Post,3,4,188.9,111.1,77.8,100,40,93.8,95.7,96.36,69.2,,
S. Curry | D. Green | J. Kuminga | M. Moody | Q. Post,4,4,130,90,40,100,20,68.8,73.2,113.39,67.3,,
S. Curry | D. Green | K. Looney | B. Hield | B. Podziemski,1,4,150,142.9,7.1,100,62.5,55,57.5,84.37,59.1,,
S. Curry | J. Butler III | D. Green | B. Hield | G. Santos,3,4,177.8,81.8,96,100,63.6,65,70.7,126.87,85.7,,
S. Curry | J. Butler III | D. Green | B. Hield | Q. Post,5,4,91.7,66.7,25,100,33.3,70,81.4,125.22,83.9,,
S. Curry | J. Butler III | K. Looney | B. Hield | G. Santos,3,4,150,116.7,33.3,100,41.7,50,69.4,85.79,94.7,,
S. Curry | J. Butler III | K. Looney | G. Payton II | B. Podziemski,1,4,166.7,100,66.7,50,40,100,100,77.14,61.5,,
S. Curry | K. Looney | G. Payton II | M. Moody | G. Santos,3,4,87.5,85.7,1.8,0,50,33.3,35.4,99.54,27.8,,
